fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,C.A. CHACARITA JRS.,L,43,
2,C.A. PATRONATO (E.R.),V,34,C.A. SAN MARTÍN (S.J.)
3,C.A. BELGRANO (CBA.),L,26,C.A. SAN MARTÍN (S.J.)
4,C.A. RIVER PLATE,V,56,C.A. SAN MARTÍN (S.J.)
5,RACING CLUB,L,55,C.A. SAN MARTÍN (S.J.)
6,C.A. ROSARIO CTRAL.,V,44,C.A. SAN MARTÍN (S.J.)
7,ARSENAL F.C.,L,27,C.A. SAN MARTÍN (S.J.)
8,C. ESTUDIANTES DE L.P.,V,56,C.A. SAN MARTÍN (S.J.)
9,C.A. COLÓN,L,49,C.A. SAN MARTÍN (S.J.)
10,C.A. SAN LORENZO DE A.,V,53,C.A. SAN MARTÍN (S.J.)
11,C.A.TEMPERLEY,L,37,C.A. SAN MARTÍN (S.J.)
12,C.A. BANFIELD,V,54,C.A. SAN MARTÍN (S.J.)
13,C.A. SAN MARTÍN (S.J.),L,33,C.S. Y D. DEF. Y JUSTICIA
14,C.S. Y D. DEF. Y JUSTICIA,L,49,C.A. VÉLEZ SARSFIELD
15,C.A. TIGRE,V,31,C.A. SAN MARTÍN (S.J.)
16,C. AT. TUCUMÁN,L,33,C.A. SAN MARTÍN (S.J.)
17,C.A. TALLERES (CBA.),V,42,C.A. SAN MARTÍN (S.J.)
18,C.A. BOCA JRS.,L,63,C.A. SAN MARTÍN (S.J.)
19,C.A. INDEPENDIENTE,V,53,C.A. SAN MARTÍN (S.J.)
20,C.A. N.O. BOYS,L,49,C.A. SAN MARTÍN (S.J.)
21,C. DE G. Y ESGRIMA L.P.,V,43,C.A. SAN MARTÍN (S.J.)
22,C.A. UNIÓN,L,32,C.A. SAN MARTÍN (S.J.)
23,C.A. HURACÁN,V,29,C.A. SAN MARTÍN (S.J.)
24,C. OLIMPO (B. BLANCA),L,38,C.A. SAN MARTÍN (S.J.)
25,C.A. LANÚS,V,50,C.A. SAN MARTÍN (S.J.)
26,C. DEP. GODOY CRUZ A.T.,L,43,C.A. SAN MARTÍN (S.J.)
27,C.A. VÉLEZ SARSFIELD,V,37,C.A. SAN MARTÍN (S.J.)
