fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,C. ESTUDIANTES DE L.P.,V,56,
2,C.A. COLÓN,L,49,C.A. ROSARIO CTRAL.
3,C.A. SAN LORENZO DE A.,V,53,C.A. ROSARIO CTRAL.
4,C.A.TEMPERLEY,L,37,C.A. ROSARIO CTRAL.
5,C.A. BANFIELD,V,54,C.A. ROSARIO CTRAL.
6,C.A. SAN MARTÍN (S.J.),L,33,C.A. ROSARIO CTRAL.
7,A.A. ARGENTINOS JRS.,V,43,C.A. ROSARIO CTRAL.
8,C.A. TIGRE,L,31,C.A. ROSARIO CTRAL.
9,C. AT. TUCUMÁN,V,33,C.A. ROSARIO CTRAL.
10,C.A. TALLERES (CBA.),L,42,C.A. ROSARIO CTRAL.
11,C.A. BOCA JRS.,V,63,C.A. ROSARIO CTRAL.
12,C.A. INDEPENDIENTE,L,53,C.A. ROSARIO CTRAL.
13,C.A. N.O. BOYS,V,49,C.A. ROSARIO CTRAL.
14,C. DE G. Y ESGRIMA L.P.,L,43,C.A. ROSARIO CTRAL.
15,C.A. UNIÓN,V,32,C.A. ROSARIO CTRAL.
16,C.A. HURACÁN,L,29,C.A. ROSARIO CTRAL.
17,C. OLIMPO (B. BLANCA),V,38,C.A. ROSARIO CTRAL.
18,C.A. LANÚS,L,50,C.A. ROSARIO CTRAL.
19,C. DEP. GODOY CRUZ A.T.,V,43,C.A. ROSARIO CTRAL.
20,C.A. VÉLEZ SARSFIELD,L,37,C.A. ROSARIO CTRAL.
21,C.A. CHACARITA JRS.,V,43,C.A. ROSARIO CTRAL.
22,C.A. PATRONATO (E.R.),L,34,C.A. ROSARIO CTRAL.
23,C.A. BELGRANO (CBA.),V,26,C.A. ROSARIO CTRAL.
24,C.A. RIVER PLATE,L,56,C.A. ROSARIO CTRAL.
25,RACING CLUB,V,55,C.A. ROSARIO CTRAL.
26,C.A. ROSARIO CTRAL.,L,44,C.S. Y D. DEF. Y JUSTICIA
27,C.S. Y D. DEF. Y JUSTICIA,V,49,C.A. N.O. BOYS
