fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,C.A. BELGRANO (CBA.),L,26,
2,C.A. RIVER PLATE,V,56,C.A.TEMPERLEY
3,RACING CLUB,L,55,C.A.TEMPERLEY
4,C.A. ROSARIO CTRAL.,V,44,C.A.TEMPERLEY
5,ARSENAL F.C.,L,27,C.A.TEMPERLEY
6,C. ESTUDIANTES DE L.P.,V,56,C.A.TEMPERLEY
7,C.A. COLÓN,L,49,C.A.TEMPERLEY
8,C.A. SAN LORENZO DE A.,V,53,C.A.TEMPERLEY
9,C.A.TEMPERLEY,L,37,C.S. Y D. DEF. Y JUSTICIA
10,C.S. Y D. DEF. Y JUSTICIA,L,49,C.A. LANÚS
11,C.A. SAN MARTÍN (S.J.),V,33,C.A.TEMPERLEY
12,A.A. ARGENTINOS JRS.,L,43,C.A.TEMPERLEY
13,C.A. TIGRE,V,31,C.A.TEMPERLEY
14,C. AT. TUCUMÁN,L,33,C.A.TEMPERLEY
15,C.A. TALLERES (CBA.),V,42,C.A.TEMPERLEY
16,C.A. BOCA JRS.,L,63,C.A.TEMPERLEY
17,C.A. INDEPENDIENTE,V,53,C.A.TEMPERLEY
18,C.A. N.O. BOYS,L,49,C.A.TEMPERLEY
19,C. DE G. Y ESGRIMA L.P.,V,43,C.A.TEMPERLEY
20,C.A. UNIÓN,L,32,C.A.TEMPERLEY
21,C.A. HURACÁN,V,29,C.A.TEMPERLEY
22,C. OLIMPO (B. BLANCA),L,38,C.A.TEMPERLEY
23,C.A. LANÚS,V,50,C.A.TEMPERLEY
24,C. DEP. GODOY CRUZ A.T.,L,43,C.A.TEMPERLEY
25,C.A. VÉLEZ SARSFIELD,V,37,C.A.TEMPERLEY
26,C.A. CHACARITA JRS.,L,43,C.A.TEMPERLEY
27,C.A. PATRONATO (E.R.),V,34,C.A.TEMPERLEY
