fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,C.A. BANFIELD,V,54,
2,C.A. SAN MARTÍN (S.J.),L,33,C.A. PATRONATO (E.R.)
3,A.A. ARGENTINOS JRS.,V,43,C.A. PATRONATO (E.R.)
4,C.A. TIGRE,L,31,C.A. PATRONATO (E.R.)
5,C. AT. TUCUMÁN,V,33,C.A. PATRONATO (E.R.)
6,C.A. TALLERES (CBA.),L,42,C.A. PATRONATO (E.R.)
7,C.A. BOCA JRS.,V,63,C.A. PATRONATO (E.R.)
8,C.A. INDEPENDIENTE,L,53,C.A. PATRONATO (E.R.)
9,C.A. N.O. BOYS,V,49,C.A. PATRONATO (E.R.)
10,C. DE G. Y ESGRIMA L.P.,L,43,C.A. PATRONATO (E.R.)
11,C.A. UNIÓN,V,32,C.A. PATRONATO (E.R.)
12,C.A. HURACÁN,L,29,C.A. PATRONATO (E.R.)
13,C. OLIMPO (B. BLANCA),V,38,C.A. PATRONATO (E.R.)
14,C.A. LANÚS,L,50,C.A. PATRONATO (E.R.)
15,C. DEP. GODOY CRUZ A.T.,V,43,C.A. PATRONATO (E.R.)
16,C.A. VÉLEZ SARSFIELD,L,37,C.A. PATRONATO (E.R.)
17,C.A. CHACARITA JRS.,V,43,C.A. PATRONATO (E.R.)
18,C.A. PATRONATO (E.R.),L,34,C.S. Y D. DEF. Y JUSTICIA
19,C.S. Y D. DEF. Y JUSTICIA,V,49,C. AT. TUCUMÁN
20,C.A. RIVER PLATE,V,56,C.A. PATRONATO (E.R.)
21,RACING CLUB,L,55,C.A. PATRONATO (E.R.)
22,C.A. ROSARIO CTRAL.,V,44,C.A. PATRONATO (E.R.)
23,ARSENAL F.C.,L,27,C.A. PATRONATO (E.R.)
24,C. ESTUDIANTES DE L.P.,V,56,C.A. PATRONATO (E.R.)
25,C.A. COLÓN,L,49,C.A. PATRONATO (E.R.)
26,C.A. SAN LORENZO DE A.,V,53,C.A. PATRONATO (E.R.)
27,C.A.TEMPERLEY,L,37,C.A. PATRONATO (E.R.)
