fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,C. OLIMPO (B. BLANCA),L,38,
2,C.A. LANÚS,V,50,C.A. TALLERES (CBA.)
3,C. DEP. GODOY CRUZ A.T.,L,43,C.A. TALLERES (CBA.)
4,C.A. VÉLEZ SARSFIELD,V,37,C.A. TALLERES (CBA.)
5,C.A. CHACARITA JRS.,L,43,C.A. TALLERES (CBA.)
6,C.A. PATRONATO (E.R.),V,34,C.A. TALLERES (CBA.)
7,C.A. BELGRANO (CBA.),L,26,C.A. TALLERES (CBA.)
8,C.A. RIVER PLATE,V,56,C.A. TALLERES (CBA.)
9,RACING CLUB,L,55,C.A. TALLERES (CBA.)
10,C.A. ROSARIO CTRAL.,V,44,C.A. TALLERES (CBA.)
11,ARSENAL F.C.,L,27,C.A. TALLERES (CBA.)
12,C. ESTUDIANTES DE L.P.,V,56,C.A. TALLERES (CBA.)
13,C.A. COLÓN,L,49,C.A. TALLERES (CBA.)
14,C.A. SAN LORENZO DE A.,V,53,C.A. TALLERES (CBA.)
15,C.A.TEMPERLEY,L,37,C.A. TALLERES (CBA.)
16,C.A. BANFIELD,V,54,C.A. TALLERES (CBA.)
17,C.A. SAN MARTÍN (S.J.),L,33,C.A. TALLERES (CBA.)
18,A.A. ARGENTINOS JRS.,V,43,C.A. TALLERES (CBA.)
19,C.A. TIGRE,L,31,C.A. TALLERES (CBA.)
20,C. AT. TUCUMÁN,V,33,C.A. TALLERES (CBA.)
21,C.A. TALLERES (CBA.),L,42,C.S. Y D. DEF. Y JUSTICIA
22,C.S. Y D. DEF. Y JUSTICIA,L,49,C.A. RIVER PLATE
23,C.A. INDEPENDIENTE,V,53,C.A. TALLERES (CBA.)
24,C.A. N.O. BOYS,L,49,C.A. TALLERES (CBA.)
25,C. DE G. Y ESGRIMA L.P.,V,43,C.A. TALLERES (CBA.)
26,C.A. UNIÓN,L,32,C.A. TALLERES (CBA.)
27,C.A. HURACÁN,V,29,C.A. TALLERES (CBA.)
