fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,A.A. ARGENTINOS JRS.,V,43,
2,C.A. TIGRE,L,31,C.A. VÉLEZ SARSFIELD
3,C. AT. TUCUMÁN,V,33,C.A. VÉLEZ SARSFIELD
4,C.A. TALLERES (CBA.),L,42,C.A. VÉLEZ SARSFIELD
5,C.A. BOCA JRS.,V,63,C.A. VÉLEZ SARSFIELD
6,C.A. INDEPENDIENTE,L,53,C.A. VÉLEZ SARSFIELD
7,C.A. N.O. BOYS,V,49,C.A. VÉLEZ SARSFIELD
8,C. DE G. Y ESGRIMA L.P.,L,43,C.A. VÉLEZ SARSFIELD
9,C.A. UNIÓN,V,32,C.A. VÉLEZ SARSFIELD
10,C.A. HURACÁN,L,29,C.A. VÉLEZ SARSFIELD
11,C. OLIMPO (B. BLANCA),V,38,C.A. VÉLEZ SARSFIELD
12,C.A. LANÚS,L,50,C.A. VÉLEZ SARSFIELD
13,C. DEP. GODOY CRUZ A.T.,V,43,C.A. VÉLEZ SARSFIELD
14,C.A. VÉLEZ SARSFIELD,L,37,C.S. Y D. DEF. Y JUSTICIA
15,C.S. Y D. DEF. Y JUSTICIA,V,49,A.A. ARGENTINOS JRS.
16,C.A. PATRONATO (E.R.),V,34,C.A. VÉLEZ SARSFIELD
17,C.A. BELGRANO (CBA.),L,26,C.A. VÉLEZ SARSFIELD
18,C.A. RIVER PLATE,V,56,C.A. VÉLEZ SARSFIELD
19,RACING CLUB,L,55,C.A. VÉLEZ SARSFIELD
20,C.A. ROSARIO CTRAL.,V,44,C.A. VÉLEZ SARSFIELD
21,ARSENAL F.C.,L,27,C.A. VÉLEZ SARSFIELD
22,C. ESTUDIANTES DE L.P.,V,56,C.A. VÉLEZ SARSFIELD
23,C.A. COLÓN,L,49,C.A. VÉLEZ SARSFIELD
24,C.A. SAN LORENZO DE A.,V,53,C.A. VÉLEZ SARSFIELD
25,C.A.TEMPERLEY,L,37,C.A. VÉLEZ SARSFIELD
26,C.A. BANFIELD,V,54,C.A. VÉLEZ SARSFIELD
27,C.A. SAN MARTÍN (S.J.),L,33,C.A. VÉLEZ SARSFIELD
