fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,C.A. ROSARIO CTRAL.,L,44,
2,ARSENAL F.C.,V,27,C. ESTUDIANTES DE L.P.
3,C. ESTUDIANTES DE L.P.,L,56,C.S. Y D. DEF. Y JUSTICIA
4,C.S. Y D. DEF. Y JUSTICIA,L,49,C.A. UNIÓN
5,C.A. SAN LORENZO DE A.,V,53,C. ESTUDIANTES DE L.P.
6,C.A.TEMPERLEY,L,37,C. ESTUDIANTES DE L.P.
7,C.A. BANFIELD,V,54,C. ESTUDIANTES DE L.P.
8,C.A. SAN MARTÍN (S.J.),L,33,C. ESTUDIANTES DE L.P.
9,A.A. ARGENTINOS JRS.,V,43,C. ESTUDIANTES DE L.P.
10,C.A. TIGRE,L,31,C. ESTUDIANTES DE L.P.
11,C. AT. TUCUMÁN,V,33,C. ESTUDIANTES DE L.P.
12,C.A. TALLERES (CBA.),L,42,C. ESTUDIANTES DE L.P.
13,C.A. BOCA JRS.,V,63,C. ESTUDIANTES DE L.P.
14,C.A. INDEPENDIENTE,L,53,C. ESTUDIANTES DE L.P.
15,C.A. N.O. BOYS,V,49,C. ESTUDIANTES DE L.P.
16,C. DE G. Y ESGRIMA L.P.,L,43,C. ESTUDIANTES DE L.P.
17,C.A. UNIÓN,V,32,C. ESTUDIANTES DE L.P.
18,C.A. HURACÁN,L,29,C. ESTUDIANTES DE L.P.
19,C. OLIMPO (B. BLANCA),V,38,C. ESTUDIANTES DE L.P.
20,C.A. LANÚS,L,50,C. ESTUDIANTES DE L.P.
21,C. DEP. GODOY CRUZ A.T.,V,43,C. ESTUDIANTES DE L.P.
22,C.A. VÉLEZ SARSFIELD,L,37,C. ESTUDIANTES DE L.P.
23,C.A. CHACARITA JRS.,V,43,C. ESTUDIANTES DE L.P.
24,C.A. PATRONATO (E.R.),L,34,C. ESTUDIANTES DE L.P.
25,C.A. BELGRANO (CBA.),V,26,C. ESTUDIANTES DE L.P.
26,C.A. RIVER PLATE,L,56,C. ESTUDIANTES DE L.P.
27,RACING CLUB,V,55,C. ESTUDIANTES DE L.P.
