fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,C. DE G. Y ESGRIMA L.P.,L,43,
2,C. ESTUDIANTES DE L.P.,V,56,ARSENAL F.C.
3,C.A. UNIÓN,L,32,C. DE G. Y ESGRIMA L.P.
4,C.A. COLÓN,V,49,C. ESTUDIANTES DE L.P.
5,C.A. HURACÁN,L,29,C.A. UNIÓN
6,C.A. SAN LORENZO DE A.,V,53,C.A. COLÓN
7,C. OLIMPO (B. BLANCA),L,38,C.A. HURACÁN
8,C.A.TEMPERLEY,V,37,C.A. SAN LORENZO DE A.
9,C.A. LANÚS,L,50,C. OLIMPO (B. BLANCA)
10,C.A. BANFIELD,V,54,C.A.TEMPERLEY
11,C. DEP. GODOY CRUZ A.T.,L,43,C.A. LANÚS
12,C.A. SAN MARTÍN (S.J.),V,33,C.A. BANFIELD
13,C.A. VÉLEZ SARSFIELD,L,37,C. DEP. GODOY CRUZ A.T.
14,A.A. ARGENTINOS JRS.,V,43,C.A. SAN MARTÍN (S.J.)
15,C.A. CHACARITA JRS.,L,43,C.A. VÉLEZ SARSFIELD
16,C.A. TIGRE,V,31,A.A. ARGENTINOS JRS.
17,C.A. PATRONATO (E.R.),L,34,C.A. CHACARITA JRS.
18,C. AT. TUCUMÁN,V,33,C.A. TIGRE
19,C.A. BELGRANO (CBA.),L,26,C.A. PATRONATO (E.R.)
20,C.A. TALLERES (CBA.),V,42,C. AT. TUCUMÁN
21,C.A. RIVER PLATE,L,56,C.A. BELGRANO (CBA.)
22,C.A. BOCA JRS.,V,63,C.A. TALLERES (CBA.)
23,RACING CLUB,L,55,C.A. RIVER PLATE
24,C.A. INDEPENDIENTE,V,53,C.A. BOCA JRS.
25,C.A. ROSARIO CTRAL.,L,44,RACING CLUB
26,C.A. N.O. BOYS,V,49,C.A. INDEPENDIENTE
27,ARSENAL F.C.,L,27,C.A. ROSARIO CTRAL.
