fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,ARSENAL F.C.,L,27,
2,C.S. Y D. DEF. Y JUSTICIA,L,49,C. DE G. Y ESGRIMA L.P.
3,C.A. COLÓN,V,49,ARSENAL F.C.
4,C.A. SAN LORENZO DE A.,L,53,ARSENAL F.C.
5,C.A.TEMPERLEY,V,37,ARSENAL F.C.
6,C.A. BANFIELD,L,54,ARSENAL F.C.
7,C.A. SAN MARTÍN (S.J.),V,33,ARSENAL F.C.
8,A.A. ARGENTINOS JRS.,L,43,ARSENAL F.C.
9,C.A. TIGRE,V,31,ARSENAL F.C.
10,C. AT. TUCUMÁN,L,33,ARSENAL F.C.
11,C.A. TALLERES (CBA.),V,42,ARSENAL F.C.
12,C.A. BOCA JRS.,L,63,ARSENAL F.C.
13,C.A. INDEPENDIENTE,V,53,ARSENAL F.C.
14,C.A. N.O. BOYS,L,49,ARSENAL F.C.
15,C. DE G. Y ESGRIMA L.P.,V,43,ARSENAL F.C.
16,C.A. UNIÓN,L,32,ARSENAL F.C.
17,C.A. HURACÁN,V,29,ARSENAL F.C.
18,C. OLIMPO (B. BLANCA),L,38,ARSENAL F.C.
19,C.A. LANÚS,V,50,ARSENAL F.C.
20,C. DEP. GODOY CRUZ A.T.,L,43,ARSENAL F.C.
21,C.A. VÉLEZ SARSFIELD,V,37,ARSENAL F.C.
22,C.A. CHACARITA JRS.,L,43,ARSENAL F.C.
23,C.A. PATRONATO (E.R.),V,34,ARSENAL F.C.
24,C.A. BELGRANO (CBA.),L,26,ARSENAL F.C.
25,C.A. RIVER PLATE,V,56,ARSENAL F.C.
26,RACING CLUB,L,55,ARSENAL F.C.
27,C.A. ROSARIO CTRAL.,V,44,ARSENAL F.C.
