fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,C.S. Y D. DEF. Y JUSTICIA,V,49,
2,C.A. UNIÓN,V,32,C.A. N.O. BOYS
3,C.A. HURACÁN,L,29,C.A. N.O. BOYS
4,C. OLIMPO (B. BLANCA),V,38,C.A. N.O. BOYS
5,C.A. LANÚS,L,50,C.A. N.O. BOYS
6,C. DEP. GODOY CRUZ A.T.,V,43,C.A. N.O. BOYS
7,C.A. VÉLEZ SARSFIELD,L,37,C.A. N.O. BOYS
8,C.A. CHACARITA JRS.,V,43,C.A. N.O. BOYS
9,C.A. PATRONATO (E.R.),L,34,C.A. N.O. BOYS
10,C.A. BELGRANO (CBA.),V,26,C.A. N.O. BOYS
11,C.A. RIVER PLATE,L,56,C.A. N.O. BOYS
12,RACING CLUB,V,55,C.A. N.O. BOYS
13,C.A. ROSARIO CTRAL.,L,44,C.A. N.O. BOYS
14,ARSENAL F.C.,V,27,C.A. N.O. BOYS
15,C. ESTUDIANTES DE L.P.,L,56,C.A. N.O. BOYS
16,C.A. COLÓN,V,49,C.A. N.O. BOYS
17,C.A. SAN LORENZO DE A.,L,53,C.A. N.O. BOYS
18,C.A.TEMPERLEY,V,37,C.A. N.O. BOYS
19,C.A. BANFIELD,L,54,C.A. N.O. BOYS
20,C.A. SAN MARTÍN (S.J.),V,33,C.A. N.O. BOYS
21,A.A. ARGENTINOS JRS.,L,43,C.A. N.O. BOYS
22,C.A. TIGRE,V,31,C.A. N.O. BOYS
23,C. AT. TUCUMÁN,L,33,C.A. N.O. BOYS
24,C.A. TALLERES (CBA.),V,42,C.A. N.O. BOYS
25,C.A. BOCA JRS.,L,63,C.A. N.O. BOYS
26,C.A. INDEPENDIENTE,V,53,C.A. N.O. BOYS
27,C.A. N.O. BOYS,L,49,C.S. Y D. DEF. Y JUSTICIA
