fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,C. AT. TUCUMÁN,V,33,
2,C.A. TALLERES (CBA.),L,42,C.A. LANÚS
3,C.A. BOCA JRS.,V,63,C.A. LANÚS
4,C.A. INDEPENDIENTE,L,53,C.A. LANÚS
5,C.A. N.O. BOYS,V,49,C.A. LANÚS
6,C. DE G. Y ESGRIMA L.P.,L,43,C.A. LANÚS
7,C.A. UNIÓN,V,32,C.A. LANÚS
8,C.A. HURACÁN,L,29,C.A. LANÚS
9,C. OLIMPO (B. BLANCA),V,38,C.A. LANÚS
10,C.A. LANÚS,L,50,C.S. Y D. DEF. Y JUSTICIA
11,C.S. Y D. DEF. Y JUSTICIA,V,49,C.A. BANFIELD
12,C.A. VÉLEZ SARSFIELD,V,37,C.A. LANÚS
13,C.A. CHACARITA JRS.,L,43,C.A. LANÚS
14,C.A. PATRONATO (E.R.),V,34,C.A. LANÚS
15,C.A. BELGRANO (CBA.),L,26,C.A. LANÚS
16,C.A. RIVER PLATE,V,56,C.A. LANÚS
17,RACING CLUB,L,55,C.A. LANÚS
18,C.A. ROSARIO CTRAL.,V,44,C.A. LANÚS
19,ARSENAL F.C.,L,27,C.A. LANÚS
20,C. ESTUDIANTES DE L.P.,V,56,C.A. LANÚS
21,C.A. COLÓN,L,49,C.A. LANÚS
22,C.A. SAN LORENZO DE A.,V,53,C.A. LANÚS
23,C.A.TEMPERLEY,L,37,C.A. LANÚS
24,C.A. BANFIELD,V,54,C.A. LANÚS
25,C.A. SAN MARTÍN (S.J.),L,33,C.A. LANÚS
26,A.A. ARGENTINOS JRS.,V,43,C.A. LANÚS
27,C.A. TIGRE,L,31,C.A. LANÚS
