fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,C.A. HURACÁN,L,29,
2,C. OLIMPO (B. BLANCA),V,38,C.A. BOCA JRS.
3,C.A. LANÚS,L,50,C.A. BOCA JRS.
4,C. DEP. GODOY CRUZ A.T.,V,43,C.A. BOCA JRS.
5,C.A. VÉLEZ SARSFIELD,L,37,C.A. BOCA JRS.
6,C.A. CHACARITA JRS.,V,43,C.A. BOCA JRS.
7,C.A. PATRONATO (E.R.),L,34,C.A. BOCA JRS.
8,C.A. BELGRANO (CBA.),V,26,C.A. BOCA JRS.
9,C.A. RIVER PLATE,L,56,C.A. BOCA JRS.
10,RACING CLUB,V,55,C.A. BOCA JRS.
11,C.A. ROSARIO CTRAL.,L,44,C.A. BOCA JRS.
12,ARSENAL F.C.,V,27,C.A. BOCA JRS.
13,C. ESTUDIANTES DE L.P.,L,56,C.A. BOCA JRS.
14,C.A. COLÓN,V,49,C.A. BOCA JRS.
15,C.A. SAN LORENZO DE A.,L,53,C.A. BOCA JRS.
16,C.A.TEMPERLEY,V,37,C.A. BOCA JRS.
17,C.A. BANFIELD,L,54,C.A. BOCA JRS.
18,C.A. SAN MARTÍN (S.J.),V,33,C.A. BOCA JRS.
19,A.A. ARGENTINOS JRS.,L,43,C.A. BOCA JRS.
20,C.A. TIGRE,V,31,C.A. BOCA JRS.
21,C. AT. TUCUMÁN,L,33,C.A. BOCA JRS.
22,C.A. TALLERES (CBA.),V,42,C.A. BOCA JRS.
23,C.A. BOCA JRS.,L,63,C.S. Y D. DEF. Y JUSTICIA
24,C.S. Y D. DEF. Y JUSTICIA,L,49,RACING CLUB
25,C.A. N.O. BOYS,V,49,C.A. BOCA JRS.
26,C. DE G. Y ESGRIMA L.P.,L,43,C.A. BOCA JRS.
27,C.A. UNIÓN,V,32,C.A. BOCA JRS.
