fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,C.A. TALLERES (CBA.),V,42,
2,C.A. BOCA JRS.,L,63,C. OLIMPO (B. BLANCA)
3,C.A. INDEPENDIENTE,V,53,C. OLIMPO (B. BLANCA)
4,C.A. N.O. BOYS,L,49,C. OLIMPO (B. BLANCA)
5,C. DE G. Y ESGRIMA L.P.,V,43,C. OLIMPO (B. BLANCA)
6,C.A. UNIÓN,L,32,C. OLIMPO (B. BLANCA)
7,C.A. HURACÁN,V,29,C. OLIMPO (B. BLANCA)
8,C. OLIMPO (B. BLANCA),L,38,C.S. Y D. DEF. Y JUSTICIA
9,C.S. Y D. DEF. Y JUSTICIA,V,49,C.A.TEMPERLEY
10,C. DEP. GODOY CRUZ A.T.,V,43,C. OLIMPO (B. BLANCA)
11,C.A. VÉLEZ SARSFIELD,L,37,C. OLIMPO (B. BLANCA)
12,C.A. CHACARITA JRS.,V,43,C. OLIMPO (B. BLANCA)
13,C.A. PATRONATO (E.R.),L,34,C. OLIMPO (B. BLANCA)
14,C.A. BELGRANO (CBA.),V,26,C. OLIMPO (B. BLANCA)
15,C.A. RIVER PLATE,L,56,C. OLIMPO (B. BLANCA)
16,RACING CLUB,V,55,C. OLIMPO (B. BLANCA)
17,C.A. ROSARIO CTRAL.,L,44,C. OLIMPO (B. BLANCA)
18,ARSENAL F.C.,V,27,C. OLIMPO (B. BLANCA)
19,C. ESTUDIANTES DE L.P.,L,56,C. OLIMPO (B. BLANCA)
20,C.A. COLÓN,V,49,C. OLIMPO (B. BLANCA)
21,C.A. SAN LORENZO DE A.,L,53,C. OLIMPO (B. BLANCA)
22,C.A.TEMPERLEY,V,37,C. OLIMPO (B. BLANCA)
23,C.A. BANFIELD,L,54,C. OLIMPO (B. BLANCA)
24,C.A. SAN MARTÍN (S.J.),V,33,C. OLIMPO (B. BLANCA)
25,A.A. ARGENTINOS JRS.,L,43,C. OLIMPO (B. BLANCA)
26,C.A. TIGRE,V,31,C. OLIMPO (B. BLANCA)
27,C. AT. TUCUMÁN,L,33,C. OLIMPO (B. BLANCA)
