fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,C.A. BOCA JRS.,V,63,
2,C.A. INDEPENDIENTE,L,53,C.A. HURACÁN
3,C.A. N.O. BOYS,V,49,C.A. HURACÁN
4,C. DE G. Y ESGRIMA L.P.,L,43,C.A. HURACÁN
5,C.A. UNIÓN,V,32,C.A. HURACÁN
6,C.A. HURACÁN,L,29,C.S. Y D. DEF. Y JUSTICIA
7,C.S. Y D. DEF. Y JUSTICIA,V,49,C.A. SAN LORENZO DE A.
8,C.A. LANÚS,V,50,C.A. HURACÁN
9,C. DEP. GODOY CRUZ A.T.,L,43,C.A. HURACÁN
10,C.A. VÉLEZ SARSFIELD,V,37,C.A. HURACÁN
11,C.A. CHACARITA JRS.,L,43,C.A. HURACÁN
12,C.A. PATRONATO (E.R.),V,34,C.A. HURACÁN
13,C.A. BELGRANO (CBA.),L,26,C.A. HURACÁN
14,C.A. RIVER PLATE,V,56,C.A. HURACÁN
15,RACING CLUB,L,55,C.A. HURACÁN
16,C.A. ROSARIO CTRAL.,V,44,C.A. HURACÁN
17,ARSENAL F.C.,L,27,C.A. HURACÁN
18,C. ESTUDIANTES DE L.P.,V,56,C.A. HURACÁN
19,C.A. COLÓN,L,49,C.A. HURACÁN
20,C.A. SAN LORENZO DE A.,V,53,C.A. HURACÁN
21,C.A.TEMPERLEY,L,37,C.A. HURACÁN
22,C.A. BANFIELD,V,54,C.A. HURACÁN
23,C.A. SAN MARTÍN (S.J.),L,33,C.A. HURACÁN
24,A.A. ARGENTINOS JRS.,V,43,C.A. HURACÁN
25,C.A. TIGRE,L,31,C.A. HURACÁN
26,C. AT. TUCUMÁN,V,33,C.A. HURACÁN
27,C.A. TALLERES (CBA.),L,42,C.A. HURACÁN
