fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,C.A. SAN MARTÍN (S.J.),V,33,
2,A.A. ARGENTINOS JRS.,L,43,C.A. CHACARITA JRS.
3,C.A. TIGRE,V,31,C.A. CHACARITA JRS.
4,C. AT. TUCUMÁN,L,33,C.A. CHACARITA JRS.
5,C.A. TALLERES (CBA.),V,42,C.A. CHACARITA JRS.
6,C.A. BOCA JRS.,L,63,C.A. CHACARITA JRS.
7,C.A. INDEPENDIENTE,V,53,C.A. CHACARITA JRS.
8,C.A. N.O. BOYS,L,49,C.A. CHACARITA JRS.
9,C. DE G. Y ESGRIMA L.P.,V,43,C.A. CHACARITA JRS.
10,C.A. UNIÓN,L,32,C.A. CHACARITA JRS.
11,C.A. HURACÁN,V,29,C.A. CHACARITA JRS.
12,C. OLIMPO (B. BLANCA),L,38,C.A. CHACARITA JRS.
13,C.A. LANÚS,V,50,C.A. CHACARITA JRS.
14,C. DEP. GODOY CRUZ A.T.,L,43,C.A. CHACARITA JRS.
15,C.A. VÉLEZ SARSFIELD,V,37,C.A. CHACARITA JRS.
16,C.A. CHACARITA JRS.,L,43,C.S. Y D. DEF. Y JUSTICIA
17,C.S. Y D. DEF. Y JUSTICIA,V,49,C.A. TIGRE
18,C.A. BELGRANO (CBA.),V,26,C.A. CHACARITA JRS.
19,C.A. RIVER PLATE,L,56,C.A. CHACARITA JRS.
20,RACING CLUB,V,55,C.A. CHACARITA JRS.
21,C.A. ROSARIO CTRAL.,L,44,C.A. CHACARITA JRS.
22,ARSENAL F.C.,V,27,C.A. CHACARITA JRS.
23,C. ESTUDIANTES DE L.P.,L,56,C.A. CHACARITA JRS.
24,C.A. COLÓN,V,49,C.A. CHACARITA JRS.
25,C.A. SAN LORENZO DE A.,L,53,C.A. CHACARITA JRS.
26,C.A.TEMPERLEY,V,37,C.A. CHACARITA JRS.
27,C.A. BANFIELD,L,54,C.A. CHACARITA JRS.
