fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,C.A. SAN LORENZO DE A.,V,53,
2,C.A.TEMPERLEY,L,37,C.A. RIVER PLATE
3,C.A. BANFIELD,V,54,C.A. RIVER PLATE
4,C.A. SAN MARTÍN (S.J.),L,33,C.A. RIVER PLATE
5,A.A. ARGENTINOS JRS.,V,43,C.A. RIVER PLATE
6,C.A. TIGRE,L,31,C.A. RIVER PLATE
7,C. AT. TUCUMÁN,V,33,C.A. RIVER PLATE
8,C.A. TALLERES (CBA.),L,42,C.A. RIVER PLATE
9,C.A. BOCA JRS.,V,63,C.A. RIVER PLATE
10,C.A. INDEPENDIENTE,L,53,C.A. RIVER PLATE
11,C.A. N.O. BOYS,V,49,C.A. RIVER PLATE
12,C. DE G. Y ESGRIMA L.P.,L,43,C.A. RIVER PLATE
13,C.A. UNIÓN,V,32,C.A. RIVER PLATE
14,C.A. HURACÁN,L,29,C.A. RIVER PLATE
15,C. OLIMPO (B. BLANCA),V,38,C.A. RIVER PLATE
16,C.A. LANÚS,L,50,C.A. RIVER PLATE
17,C. DEP. GODOY CRUZ A.T.,V,43,C.A. RIVER PLATE
18,C.A. VÉLEZ SARSFIELD,L,37,C.A. RIVER PLATE
19,C.A. CHACARITA JRS.,V,43,C.A. RIVER PLATE
20,C.A. PATRONATO (E.R.),L,34,C.A. RIVER PLATE
21,C.A. BELGRANO (CBA.),V,26,C.A. RIVER PLATE
22,C.A. RIVER PLATE,L,56,C.S. Y D. DEF. Y JUSTICIA
23,C.S. Y D. DEF. Y JUSTICIA,V,49,C.A. BOCA JRS.
24,C.A. ROSARIO CTRAL.,V,44,C.A. RIVER PLATE
25,ARSENAL F.C.,L,27,C.A. RIVER PLATE
26,C. ESTUDIANTES DE L.P.,V,56,C.A. RIVER PLATE
27,C.A. COLÓN,L,49,C.A. RIVER PLATE
