fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,C.A.TEMPERLEY,V,37,
2,C.A. BANFIELD,L,54,C.A. BELGRANO (CBA.)
3,C.A. SAN MARTÍN (S.J.),V,33,C.A. BELGRANO (CBA.)
4,A.A. ARGENTINOS JRS.,L,43,C.A. BELGRANO (CBA.)
5,C.A. TIGRE,V,31,C.A. BELGRANO (CBA.)
6,C. AT. TUCUMÁN,L,33,C.A. BELGRANO (CBA.)
7,C.A. TALLERES (CBA.),V,42,C.A. BELGRANO (CBA.)
8,C.A. BOCA JRS.,L,63,C.A. BELGRANO (CBA.)
9,C.A. INDEPENDIENTE,V,53,C.A. BELGRANO (CBA.)
10,C.A. N.O. BOYS,L,49,C.A. BELGRANO (CBA.)
11,C. DE G. Y ESGRIMA L.P.,V,43,C.A. BELGRANO (CBA.)
12,C.A. UNIÓN,L,32,C.A. BELGRANO (CBA.)
13,C.A. HURACÁN,V,29,C.A. BELGRANO (CBA.)
14,C. OLIMPO (B. BLANCA),L,38,C.A. BELGRANO (CBA.)
15,C.A. LANÚS,V,50,C.A. BELGRANO (CBA.)
16,C. DEP. GODOY CRUZ A.T.,L,43,C.A. BELGRANO (CBA.)
17,C.A. VÉLEZ SARSFIELD,V,37,C.A. BELGRANO (CBA.)
18,C.A. CHACARITA JRS.,L,43,C.A. BELGRANO (CBA.)
19,C.A. PATRONATO (E.R.),V,34,C.A. BELGRANO (CBA.)
20,C.A. BELGRANO (CBA.),L,26,C.S. Y D. DEF. Y JUSTICIA
21,C.S. Y D. DEF. Y JUSTICIA,V,49,C.A. TALLERES (CBA.)
22,RACING CLUB,V,55,C.A. BELGRANO (CBA.)
23,C.A. ROSARIO CTRAL.,L,44,C.A. BELGRANO (CBA.)
24,ARSENAL F.C.,V,27,C.A. BELGRANO (CBA.)
25,C. ESTUDIANTES DE L.P.,L,56,C.A. BELGRANO (CBA.)
26,C.A. COLÓN,V,49,C.A. BELGRANO (CBA.)
27,C.A. SAN LORENZO DE A.,L,53,C.A. BELGRANO (CBA.)
