fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,C.A. COLÓN,V,49,
2,C.A. SAN LORENZO DE A.,L,53,RACING CLUB
3,C.A.TEMPERLEY,V,37,RACING CLUB
4,C.A. BANFIELD,L,54,RACING CLUB
5,C.A. SAN MARTÍN (S.J.),V,33,RACING CLUB
6,A.A. ARGENTINOS JRS.,L,43,RACING CLUB
7,C.A. TIGRE,V,31,RACING CLUB
8,C. AT. TUCUMÁN,L,33,RACING CLUB
9,C.A. TALLERES (CBA.),V,42,RACING CLUB
10,C.A. BOCA JRS.,L,63,RACING CLUB
11,C.A. INDEPENDIENTE,V,53,RACING CLUB
12,C.A. N.O. BOYS,L,49,RACING CLUB
13,C. DE G. Y ESGRIMA L.P.,V,43,RACING CLUB
14,C.A. UNIÓN,L,32,RACING CLUB
15,C.A. HURACÁN,V,29,RACING CLUB
16,C. OLIMPO (B. BLANCA),L,38,RACING CLUB
17,C.A. LANÚS,V,50,RACING CLUB
18,C. DEP. GODOY CRUZ A.T.,L,43,RACING CLUB
19,C.A. VÉLEZ SARSFIELD,V,37,RACING CLUB
20,C.A. CHACARITA JRS.,L,43,RACING CLUB
21,C.A. PATRONATO (E.R.),V,34,RACING CLUB
22,C.A. BELGRANO (CBA.),L,26,RACING CLUB
23,C.A. RIVER PLATE,V,56,RACING CLUB
24,RACING CLUB,L,55,C.S. Y D. DEF. Y JUSTICIA
25,C.S. Y D. DEF. Y JUSTICIA,V,49,C.A. INDEPENDIENTE
26,ARSENAL F.C.,V,27,RACING CLUB
27,C. ESTUDIANTES DE L.P.,L,56,RACING CLUB
