fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,RACING CLUB,L,55,
2,C.A. ROSARIO CTRAL.,V,44,C.A. COLÓN
3,ARSENAL F.C.,L,27,C.A. COLÓN
4,C. ESTUDIANTES DE L.P.,V,56,C.A. COLÓN
5,C.A. COLÓN,L,49,C.S. Y D. DEF. Y JUSTICIA
6,C.S. Y D. DEF. Y JUSTICIA,L,49,C.A. HURACÁN
7,C.A.TEMPERLEY,V,37,C.A. COLÓN
8,C.A. BANFIELD,L,54,C.A. COLÓN
9,C.A. SAN MARTÍN (S.J.),V,33,C.A. COLÓN
10,A.A. ARGENTINOS JRS.,L,43,C.A. COLÓN
11,C.A. TIGRE,V,31,C.A. COLÓN
12,C. AT. TUCUMÁN,L,33,C.A. COLÓN
13,C.A. TALLERES (CBA.),V,42,C.A. COLÓN
14,C.A. BOCA JRS.,L,63,C.A. COLÓN
15,C.A. INDEPENDIENTE,V,53,C.A. COLÓN
16,C.A. N.O. BOYS,L,49,C.A. COLÓN
17,C. DE G. Y ESGRIMA L.P.,V,43,C.A. COLÓN
18,C.A. UNIÓN,L,32,C.A. COLÓN
19,C.A. HURACÁN,V,29,C.A. COLÓN
20,C. OLIMPO (B. BLANCA),L,38,C.A. COLÓN
21,C.A. LANÚS,V,50,C.A. COLÓN
22,C. DEP. GODOY CRUZ A.T.,L,43,C.A. COLÓN
23,C.A. VÉLEZ SARSFIELD,V,37,C.A. COLÓN
24,C.A. CHACARITA JRS.,L,43,C.A. COLÓN
25,C.A. PATRONATO (E.R.),V,34,C.A. COLÓN
26,C.A. BELGRANO (CBA.),L,26,C.A. COLÓN
27,C.A. RIVER PLATE,V,56,C.A. COLÓN
