fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,C.A. RIVER PLATE,L,56,
2,RACING CLUB,V,55,C.A. SAN LORENZO DE A.
3,C.A. ROSARIO CTRAL.,L,44,C.A. SAN LORENZO DE A.
4,ARSENAL F.C.,V,27,C.A. SAN LORENZO DE A.
5,C. ESTUDIANTES DE L.P.,L,56,C.A. SAN LORENZO DE A.
6,C.A. COLÓN,V,49,C.A. SAN LORENZO DE A.
7,C.A. SAN LORENZO DE A.,L,53,C.S. Y D. DEF. Y JUSTICIA
8,C.S. Y D. DEF. Y JUSTICIA,L,49,C. OLIMPO (B. BLANCA)
9,C.A. BANFIELD,V,54,C.A. SAN LORENZO DE A.
10,C.A. SAN MARTÍN (S.J.),L,33,C.A. SAN LORENZO DE A.
11,A.A. ARGENTINOS JRS.,V,43,C.A. SAN LORENZO DE A.
12,C.A. TIGRE,L,31,C.A. SAN LORENZO DE A.
13,C. AT. TUCUMÁN,V,33,C.A. SAN LORENZO DE A.
14,C.A. TALLERES (CBA.),L,42,C.A. SAN LORENZO DE A.
15,C.A. BOCA JRS.,V,63,C.A. SAN LORENZO DE A.
16,C.A. INDEPENDIENTE,L,53,C.A. SAN LORENZO DE A.
17,C.A. N.O. BOYS,V,49,C.A. SAN LORENZO DE A.
18,C. DE G. Y ESGRIMA L.P.,L,43,C.A. SAN LORENZO DE A.
19,C.A. UNIÓN,V,32,C.A. SAN LORENZO DE A.
20,C.A. HURACÁN,L,29,C.A. SAN LORENZO DE A.
21,C. OLIMPO (B. BLANCA),V,38,C.A. SAN LORENZO DE A.
22,C.A. LANÚS,L,50,C.A. SAN LORENZO DE A.
23,C. DEP. GODOY CRUZ A.T.,V,43,C.A. SAN LORENZO DE A.
24,C.A. VÉLEZ SARSFIELD,L,37,C.A. SAN LORENZO DE A.
25,C.A. CHACARITA JRS.,V,43,C.A. SAN LORENZO DE A.
26,C.A. PATRONATO (E.R.),L,34,C.A. SAN LORENZO DE A.
27,C.A. BELGRANO (CBA.),V,26,C.A. SAN LORENZO DE A.
