fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,C.A. VÉLEZ SARSFIELD,L,37,
2,C.A. CHACARITA JRS.,V,43,A.A. ARGENTINOS JRS.
3,C.A. PATRONATO (E.R.),L,34,A.A. ARGENTINOS JRS.
4,C.A. BELGRANO (CBA.),V,26,A.A. ARGENTINOS JRS.
5,C.A. RIVER PLATE,L,56,A.A. ARGENTINOS JRS.
6,RACING CLUB,V,55,A.A. ARGENTINOS JRS.
7,C.A. ROSARIO CTRAL.,L,44,A.A. ARGENTINOS JRS.
8,ARSENAL F.C.,V,27,A.A. ARGENTINOS JRS.
9,C. ESTUDIANTES DE L.P.,L,56,A.A. ARGENTINOS JRS.
10,C.A. COLÓN,V,49,A.A. ARGENTINOS JRS.
11,C.A. SAN LORENZO DE A.,L,53,A.A. ARGENTINOS JRS.
12,C.A.TEMPERLEY,V,37,A.A. ARGENTINOS JRS.
13,C.A. BANFIELD,L,54,A.A. ARGENTINOS JRS.
14,C.A. SAN MARTÍN (S.J.),V,33,A.A. ARGENTINOS JRS.
15,A.A. ARGENTINOS JRS.,L,43,C.S. Y D. DEF. Y JUSTICIA
16,C.S. Y D. DEF. Y JUSTICIA,L,49,C.A. CHACARITA JRS.
17,C. AT. TUCUMÁN,V,33,A.A. ARGENTINOS JRS.
18,C.A. TALLERES (CBA.),L,42,A.A. ARGENTINOS JRS.
19,C.A. BOCA JRS.,V,63,A.A. ARGENTINOS JRS.
20,C.A. INDEPENDIENTE,L,53,A.A. ARGENTINOS JRS.
21,C.A. N.O. BOYS,V,49,A.A. ARGENTINOS JRS.
22,C. DE G. Y ESGRIMA L.P.,L,43,A.A. ARGENTINOS JRS.
23,C.A. UNIÓN,V,32,A.A. ARGENTINOS JRS.
24,C.A. HURACÁN,L,29,A.A. ARGENTINOS JRS.
25,C. OLIMPO (B. BLANCA),V,38,A.A. ARGENTINOS JRS.
26,C.A. LANÚS,L,50,A.A. ARGENTINOS JRS.
27,C. DEP. GODOY CRUZ A.T.,V,43,A.A. ARGENTINOS JRS.
