fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,C.A. N.O. BOYS,V,49,
2,C. DE G. Y ESGRIMA L.P.,L,43,C.S. Y D. DEF. Y JUSTICIA
3,C.S. Y D. DEF. Y JUSTICIA,V,49,C. ESTUDIANTES DE L.P.
4,C.A. HURACÁN,V,29,C. DE G. Y ESGRIMA L.P.
5,C. OLIMPO (B. BLANCA),L,38,C. DE G. Y ESGRIMA L.P.
6,C.A. LANÚS,V,50,C. DE G. Y ESGRIMA L.P.
7,C. DEP. GODOY CRUZ A.T.,L,43,C. DE G. Y ESGRIMA L.P.
8,C.A. VÉLEZ SARSFIELD,V,37,C. DE G. Y ESGRIMA L.P.
9,C.A. CHACARITA JRS.,L,43,C. DE G. Y ESGRIMA L.P.
10,C.A. PATRONATO (E.R.),V,34,C. DE G. Y ESGRIMA L.P.
11,C.A. BELGRANO (CBA.),L,26,C. DE G. Y ESGRIMA L.P.
12,C.A. RIVER PLATE,V,56,C. DE G. Y ESGRIMA L.P.
13,RACING CLUB,L,55,C. DE G. Y ESGRIMA L.P.
14,C.A. ROSARIO CTRAL.,V,44,C. DE G. Y ESGRIMA L.P.
15,ARSENAL F.C.,L,27,C. DE G. Y ESGRIMA L.P.
16,C. ESTUDIANTES DE L.P.,V,56,C. DE G. Y ESGRIMA L.P.
17,C.A. COLÓN,L,49,C. DE G. Y ESGRIMA L.P.
18,C.A. SAN LORENZO DE A.,V,53,C. DE G. Y ESGRIMA L.P.
19,C.A.TEMPERLEY,L,37,C. DE G. Y ESGRIMA L.P.
20,C.A. BANFIELD,V,54,C. DE G. Y ESGRIMA L.P.
21,C.A. SAN MARTÍN (S.J.),L,33,C. DE G. Y ESGRIMA L.P.
22,A.A. ARGENTINOS JRS.,V,43,C. DE G. Y ESGRIMA L.P.
23,C.A. TIGRE,L,31,C. DE G. Y ESGRIMA L.P.
24,C. AT. TUCUMÁN,V,33,C. DE G. Y ESGRIMA L.P.
25,C.A. TALLERES (CBA.),L,42,C. DE G. Y ESGRIMA L.P.
26,C.A. BOCA JRS.,V,63,C. DE G. Y ESGRIMA L.P.
27,C.A. INDEPENDIENTE,L,53,C. DE G. Y ESGRIMA L.P.
