fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,C.A. TIGRE,V,31,
2,C. AT. TUCUMÁN,L,33,C. DEP. GODOY CRUZ A.T.
3,C.A. TALLERES (CBA.),V,42,C. DEP. GODOY CRUZ A.T.
4,C.A. BOCA JRS.,L,63,C. DEP. GODOY CRUZ A.T.
5,C.A. INDEPENDIENTE,V,53,C. DEP. GODOY CRUZ A.T.
6,C.A. N.O. BOYS,L,49,C. DEP. GODOY CRUZ A.T.
7,C. DE G. Y ESGRIMA L.P.,V,43,C. DEP. GODOY CRUZ A.T.
8,C.A. UNIÓN,L,32,C. DEP. GODOY CRUZ A.T.
9,C.A. HURACÁN,V,29,C. DEP. GODOY CRUZ A.T.
10,C. OLIMPO (B. BLANCA),L,38,C. DEP. GODOY CRUZ A.T.
11,C.A. LANÚS,V,50,C. DEP. GODOY CRUZ A.T.
12,C. DEP. GODOY CRUZ A.T.,L,43,C.S. Y D. DEF. Y JUSTICIA
13,C.S. Y D. DEF. Y JUSTICIA,V,49,C.A. SAN MARTÍN (S.J.)
14,C.A. CHACARITA JRS.,V,43,C. DEP. GODOY CRUZ A.T.
15,C.A. PATRONATO (E.R.),L,34,C. DEP. GODOY CRUZ A.T.
16,C.A. BELGRANO (CBA.),V,26,C. DEP. GODOY CRUZ A.T.
17,C.A. RIVER PLATE,L,56,C. DEP. GODOY CRUZ A.T.
18,RACING CLUB,V,55,C. DEP. GODOY CRUZ A.T.
19,C.A. ROSARIO CTRAL.,L,44,C. DEP. GODOY CRUZ A.T.
20,ARSENAL F.C.,V,27,C. DEP. GODOY CRUZ A.T.
21,C. ESTUDIANTES DE L.P.,L,56,C. DEP. GODOY CRUZ A.T.
22,C.A. COLÓN,V,49,C. DEP. GODOY CRUZ A.T.
23,C.A. SAN LORENZO DE A.,L,53,C. DEP. GODOY CRUZ A.T.
24,C.A.TEMPERLEY,V,37,C. DEP. GODOY CRUZ A.T.
25,C.A. BANFIELD,L,54,C. DEP. GODOY CRUZ A.T.
26,C.A. SAN MARTÍN (S.J.),V,33,C. DEP. GODOY CRUZ A.T.
27,A.A. ARGENTINOS JRS.,L,43,C. DEP. GODOY CRUZ A.T.
