local1,vs1,visitante1
Fecha: 1,,27.08.17
C.S. Y D. DEF. Y JUSTICIA,vs,C. DE G. Y ESGRIMA L.P.
C.A. N.O. BOYS,vs,C.A. UNIÓN
C.A. INDEPENDIENTE,vs,C.A. HURACÁN
C.A. BOCA JRS.,vs,C. OLIMPO (B. BLANCA)
C.A. TALLERES (CBA.),vs,C.A. LANÚS
C. AT. TUCUMÁN,vs,C. DEP. GODOY CRUZ A.T.
C.A. TIGRE,vs,C.A. VÉLEZ SARSFIELD
A.A. ARGENTINOS JRS.,vs,C.A. CHACARITA JRS.
C.A. SAN MARTÍN (S.J.),vs,C.A. PATRONATO (E.R.)
C.A. BANFIELD,vs,C.A. BELGRANO (CBA.)
C.A.TEMPERLEY,vs,C.A. RIVER PLATE
C.A. SAN LORENZO DE A.,vs,RACING CLUB
C.A. COLÓN,vs,C.A. ROSARIO CTRAL.
C. ESTUDIANTES DE L.P.,vs,ARSENAL F.C.
Fecha: 2,,10.09.17
C. ESTUDIANTES DE L.P.,vs,C.S. Y D. DEF. Y JUSTICIA
ARSENAL F.C.,vs,C.A. COLÓN
C.A. ROSARIO CTRAL.,vs,C.A. SAN LORENZO DE A.
RACING CLUB,vs,C.A.TEMPERLEY
C.A. RIVER PLATE,vs,C.A. BANFIELD
C.A. BELGRANO (CBA.),vs,C.A. SAN MARTÍN (S.J.)
C.A. PATRONATO (E.R.),vs,A.A. ARGENTINOS JRS.
C.A. CHACARITA JRS.,vs,C.A. TIGRE
C.A. VÉLEZ SARSFIELD,vs,C. AT. TUCUMÁN
C. DEP. GODOY CRUZ A.T.,vs,C.A. TALLERES (CBA.)
C.A. LANÚS,vs,C.A. BOCA JRS.
C. OLIMPO (B. BLANCA),vs,C.A. INDEPENDIENTE
C.A. HURACÁN,vs,C.A. N.O. BOYS
C.A. UNIÓN,vs,C. DE G. Y ESGRIMA L.P.
Fecha: 3,,17.09.17
C.S. Y D. DEF. Y JUSTICIA,vs,C.A. UNIÓN
C. DE G. Y ESGRIMA L.P.,vs,C.A. HURACÁN
C.A. N.O. BOYS,vs,C. OLIMPO (B. BLANCA)
C.A. INDEPENDIENTE,vs,C.A. LANÚS
C.A. BOCA JRS.,vs,C. DEP. GODOY CRUZ A.T.
C.A. TALLERES (CBA.),vs,C.A. VÉLEZ SARSFIELD
C. AT. TUCUMÁN,vs,C.A. CHACARITA JRS.
C.A. TIGRE,vs,C.A. PATRONATO (E.R.)
A.A. ARGENTINOS JRS.,vs,C.A. BELGRANO (CBA.)
C.A. SAN MARTÍN (S.J.),vs,C.A. RIVER PLATE
C.A. BANFIELD,vs,RACING CLUB
C.A.TEMPERLEY,vs,C.A. ROSARIO CTRAL.
C.A. SAN LORENZO DE A.,vs,ARSENAL F.C.
C.A. COLÓN,vs,C. ESTUDIANTES DE L.P.
Fecha: 4,,24.09.17
C.A. COLÓN,vs,C.S. Y D. DEF. Y JUSTICIA
C. ESTUDIANTES DE L.P.,vs,C.A. SAN LORENZO DE A.
ARSENAL F.C.,vs,C.A.TEMPERLEY
C.A. ROSARIO CTRAL.,vs,C.A. BANFIELD
RACING CLUB,vs,C.A. SAN MARTÍN (S.J.)
C.A. RIVER PLATE,vs,A.A. ARGENTINOS JRS.
C.A. BELGRANO (CBA.),vs,C.A. TIGRE
C.A. PATRONATO (E.R.),vs,C. AT. TUCUMÁN
C.A. CHACARITA JRS.,vs,C.A. TALLERES (CBA.)
C.A. VÉLEZ SARSFIELD,vs,C.A. BOCA JRS.
C. DEP. GODOY CRUZ A.T.,vs,C.A. INDEPENDIENTE
C.A. LANÚS,vs,C.A. N.O. BOYS
C. OLIMPO (B. BLANCA),vs,C. DE G. Y ESGRIMA L.P.
C.A. HURACÁN,vs,C.A. UNIÓN
Fecha: 5,,01.10.17
C.S. Y D. DEF. Y JUSTICIA,vs,C.A. HURACÁN
C.A. UNIÓN,vs,C. OLIMPO (B. BLANCA)
C. DE G. Y ESGRIMA L.P.,vs,C.A. LANÚS
C.A. N.O. BOYS,vs,C. DEP. GODOY CRUZ A.T.
C.A. INDEPENDIENTE,vs,C.A. VÉLEZ SARSFIELD
C.A. BOCA JRS.,vs,C.A. CHACARITA JRS.
C.A. TALLERES (CBA.),vs,C.A. PATRONATO (E.R.)
C. AT. TUCUMÁN,vs,C.A. BELGRANO (CBA.)
C.A. TIGRE,vs,C.A. RIVER PLATE
A.A. ARGENTINOS JRS.,vs,RACING CLUB
C.A. SAN MARTÍN (S.J.),vs,C.A. ROSARIO CTRAL.
C.A. BANFIELD,vs,ARSENAL F.C.
C.A.TEMPERLEY,vs,C. ESTUDIANTES DE L.P.
C.A. SAN LORENZO DE A.,vs,C.A. COLÓN
Fecha: 6,,15.10.17
C.A. SAN LORENZO DE A.,vs,C.S. Y D. DEF. Y JUSTICIA
C.A. COLÓN,vs,C.A.TEMPERLEY
C. ESTUDIANTES DE L.P.,vs,C.A. BANFIELD
ARSENAL F.C.,vs,C.A. SAN MARTÍN (S.J.)
C.A. ROSARIO CTRAL.,vs,A.A. ARGENTINOS JRS.
RACING CLUB,vs,C.A. TIGRE
